chapter	pdf_pages	section	source_kind	material_type	german	note
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Hallo	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Moin	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Morgen	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Tag	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Abend	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Gute Nacht	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Tschüss	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Ciao	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiedersehen	
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiederhören	
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Name	
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Vorname	
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Nachname / der Familienname	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Adresse	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Telefonnummer / die Handynummer	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die E-Mail-Adresse	
1	17	Persönliche Angaben	Lernwortschatz	phrase	das Geburtsdatum	
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Wohnort	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Herkunft / das Herkunftsland	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Sprache	
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Nationalität	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wie?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wer?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wo?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Woher?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Was?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wohnst du in …?	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Kommst du aus …?	
1	17	Zahlen 0–20	Lernwortschatz	word	null	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	eins	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwei	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	drei	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vier	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünf	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sechs	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sieben	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	acht	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neun	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	elf	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwölf	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	dreizehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vierzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünfzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sechzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	siebzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	achtzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neunzehn	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwanzig	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Sprachen	Lernwortschatz	word	Deutsch	
1	17	Sprachen	Lernwortschatz	word	Englisch	
1	17	Sprachen	Lernwortschatz	word	Indonesisch	
1	17	Sprachen	Lernwortschatz	word	Arabisch	
1	17	Sprachen	Lernwortschatz	word	Italienisch	
1	17	Sprachen	Lernwortschatz	word	Chinesisch	
1	17	Sprachen	Lernwortschatz	word	Türkisch	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Hallo!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Tag!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Morgen!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Abend!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Tschüss!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Auf Wiedersehen!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Gute Nacht!	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wer bist du?	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich bin …	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wie heißt du?	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich heiße …	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnen Sie?	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnst du?	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich wohne in …	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommen Sie?	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommst du?	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich komme aus …	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprechen Sie?	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprichst du?	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich spreche …	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre Telefonnummer?	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine Telefonnummer?	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre E-Mail-Adresse?	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine E-Mail-Adresse?	
1	18	Herkunft und Angaben	Redemittel	sentence	Wer ist das?	
1	18	Herkunft und Angaben	Redemittel	sentence	Das ist …	
1	18	Befinden	Redemittel	sentence	Wie geht es Ihnen?	
1	18	Befinden	Redemittel	sentence	Wie geht's dir?	
1	18	Befinden	Redemittel	sentence	Wie geht's?	
1	18	Befinden	Redemittel	sentence	Danke, sehr gut.	
1	18	Befinden	Redemittel	sentence	Danke, gut.	
1	18	Befinden	Redemittel	sentence	Ganz gut.	
1	18	Befinden	Redemittel	sentence	Und Ihnen?	
1	18	Befinden	Redemittel	sentence	Und dir?	
2	38	Aktivitäten	Lernwortschatz	word	aufstehen	
2	38	Aktivitäten	Lernwortschatz	word	duschen	
2	38	Aktivitäten	Lernwortschatz	word	frühstücken	
2	38	Aktivitäten	Lernwortschatz	word	essen	
2	38	Aktivitäten	Lernwortschatz	word	trinken	
2	38	Aktivitäten	Lernwortschatz	word	lernen	
2	38	Aktivitäten	Lernwortschatz	word	lesen	
2	38	Aktivitäten	Lernwortschatz	word	schlafen	
2	38	Aktivitäten	Lernwortschatz	word	spielen	
2	38	Aktivitäten	Lernwortschatz	word	joggen	
2	38	Aktivitäten	Lernwortschatz	word	telefonieren	
2	38	Aktivitäten	Lernwortschatz	word	besuchen	
2	38	Aktivitäten	Lernwortschatz	word	einkaufen	
2	38	Aktivitäten	Lernwortschatz	word	feiern	
2	38	Aktivitäten	Lernwortschatz	word	arbeiten	
2	38	Zeitangaben	Lernwortschatz	word	morgens	
2	38	Zeitangaben	Lernwortschatz	word	abends	
2	38	Zeitangaben	Lernwortschatz	phrase	am Montag	
2	38	Zeitangaben	Lernwortschatz	phrase	am Dienstag	
2	38	Zeitangaben	Lernwortschatz	phrase	am Wochenende	
2	38	Zeitangaben	Lernwortschatz	phrase	von … bis …	
2	38	Zeitangaben	Lernwortschatz	word	heute	
2	38	Zeitangaben	Lernwortschatz	word	morgen	
2	38	Zeitangaben	Lernwortschatz	phrase	jeden Tag	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Schule	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Buch	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Freund / die Freundin	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Bett	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	das Mittagessen / das Abendessen	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Arbeit	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Supermarkt	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	der Kaffee	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Zeit	
2	38	Andere wichtige Wörter	Lernwortschatz	phrase	die Musik	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich lerne Deutsch.	
2	39	Aktivitäten und Zeit	Redemittel	sentence	Ich lese ein Buch.	
