chapter	pdf_pages	section	source_kind	material_type	german	normalized_source	decision	existing_deck_ids	existing_source_texts	proposed_target_deck_id	review_flags	source_note
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Hallo	hallo	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Moin	moin	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Morgen	gutenmorgen	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Morgen!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Tag	gutentag	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Tag!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Abend	gutenabend	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Abend!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Gute Nacht	gutenacht	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Gute Nacht!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Tschüss	tschüss	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Ciao	ciao	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiedersehen	aufwiedersehen	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Auf Wiedersehen!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiederhören	aufwiederhören	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Name	dername	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Vorname	dervorname	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Nachname / der Familienname	dernachnamederfamilienname	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Adresse	dieadresse	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Telefonnummer / die Handynummer	dietelefonnummerdiehandynummer	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die E-Mail-Adresse	dieemailadresse	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	das Geburtsdatum	dasgeburtsdatum	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Wohnort	derwohnort	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Herkunft / das Herkunftsland	dieherkunftdasherkunftsland	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Sprache	diesprache	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Nationalität	dienationalität	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wie?	wie	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wer?	wer	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wo?	wo	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Woher?	woher	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Was?	was	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wohnst du in …?	wohnstduin	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Kommst du aus …?	kommstduaus	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Zahlen 0–20	Lernwortschatz	word	null	null	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	eins	eins	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwei	zwei	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	drei	drei	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vier	vier	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünf	fünf	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
